arm	stage	jobid	depends_on
human_composite	rfdiffusion	26498373	-
human_composite	proteinmpnn	26498374	26498373
human_composite	boltz	26498375	26498374
human_composite	chai	26498376	26498375
human_composite	crossspecies	26498377	26498375
human_ecl1	rfdiffusion	26498378	-
human_ecl1	proteinmpnn	26498379	26498378
human_ecl1	boltz	26498380	26498379
human_ecl1	chai	26498381	26498380
human_ecl1	crossspecies	26498382	26498380
human_ecl2	rfdiffusion	26498383	-
human_ecl2	proteinmpnn	26498384	26498383
human_ecl2	boltz	26498385	26498384
human_ecl2	chai	26498386	26498385
human_ecl2	crossspecies	26498387	26498385
mouse_composite	rfdiffusion	26498388	-
mouse_composite	proteinmpnn	26498389	26498388
mouse_composite	boltz	26498390	26498389
mouse_composite	chai	26498391	26498390
mouse_composite	crossspecies	26498392	26498390
mouse_ecl1	rfdiffusion	26498393	-
mouse_ecl1	proteinmpnn	26498394	26498393
mouse_ecl1	boltz	26498395	26498394
mouse_ecl1	chai	26498396	26498395
mouse_ecl1	crossspecies	26498397	26498395
mouse_ecl2	rfdiffusion	26498398	-
mouse_ecl2	proteinmpnn	26498399	26498398
mouse_ecl2	boltz	26498400	26498399
mouse_ecl2	chai	26498401	26498400
mouse_ecl2	crossspecies	26498402	26498400
ALL	harvest_notify	26498403	26498375:26498376:26498377:26498380:26498381:26498382:26498385:26498386:26498387:26498390:26498391:26498392:26498395:26498396:26498397:26498400:26498401:26498402
