pep_id,kind,replicate,iptm
PROK2,decoy,1,0.7151890993118286
PROK2,decoy,2,0.7712105512619019
PROK2,decoy,3,0.8482783436775208
PROK2,decoy,4,0.9116055965423584
PROK2,decoy,5,0.5844009518623352
PROK2,real,0,0.634527862071991
PDYN,decoy,1,0.8770866394042969
PDYN,decoy,2,0.9258826971054077
PDYN,decoy,3,0.8252477049827576
PDYN,decoy,4,0.9362132549285889
PDYN,decoy,5,0.9313375949859619
PDYN,real,0,0.924609899520874
MCH,decoy,1,0.9271537661552429
MCH,decoy,2,0.9133363366127014
MCH,decoy,3,0.8926169276237488
MCH,decoy,4,0.9237975478172302
MCH,decoy,5,0.8714219927787781
MCH,real,0,0.9463028311729431
GALP,decoy,1,0.8109152317047119
GALP,decoy,2,0.9010633826255798
GALP,decoy,3,0.9028623700141907
GALP,decoy,4,0.6079806089401245
GALP,decoy,5,0.9465531706809998
GALP,real,0,0.7898381352424622
VGF,decoy,1,0.90201735496521
VGF,decoy,2,0.9033442139625549
VGF,decoy,3,0.8820132613182068
VGF,decoy,4,0.8817259073257446
VGF,decoy,5,0.9174256324768066
VGF,real,0,0.8882552981376648
TKN4,decoy,1,0.9261610507965088
TKN4,decoy,2,0.9031738042831421
TKN4,decoy,3,0.9486493468284607
TKN4,decoy,4,0.9413716197013855
TKN4,decoy,5,0.8968976140022278
TKN4,real,0,0.9039101600646973
SCG2,decoy,1,0.882093071937561
SCG2,decoy,2,0.86311936378479
SCG2,decoy,3,0.9165681004524231
SCG2,decoy,4,0.9360620379447937
SCG2,decoy,5,0.8907029628753662
SCG2,real,0,0.8085378408432007
